"id_norma_modificatoria","id_norma_modificada","tipo_norma","nro_norma","clase_norma","organismo_origen","fecha_boletin","titulo_sumario","titulo_resumido"
"375141","338563","Decreto","532","Reglamentario","PODER EJECUTIVO NACIONAL (P.E.N.)","2020-06-10","SEGURIDAD EN EL TRANSPORTE","LEY 27514 - SU REGLAMENTACION"
"375144","369433","Disposición","140","","INSTITUTO NACIONAL DEL CANCER","2022-08-09","INSTITUTO NACIONAL DEL CANCER","BECAS DE CAPACITACION - ADJUDICACION"
"375145","20993","Ley","23551","","HONORABLE CONGRESO DE LA NACION ARGENTINA","1988-04-22","ASOCIACIONES SINDICALES","REGIMEN"
"375145","205742","Resolución","1048","","MINISTERIO DE TRABAJO, EMPLEO Y SEGURIDAD SOCIAL","2012-12-07","ASOCIACIONES SINDICALES","SINDICATO DE TRABAJADORES AERONAUTICOS DE LA FABRICA ARGENTINA DE AVIONES S.A."
"375146","46379","Ley","14250","","HONORABLE CONGRESO DE LA NACION ARGENTINA","1953-10-20","CONVENIOS COLECTIVO DE TRABAJO","TRABAJO"
"375147","46379","Ley","14250","","HONORABLE CONGRESO DE LA NACION ARGENTINA","1953-10-20","CONVENIOS COLECTIVO DE TRABAJO","TRABAJO"
"375148","46379","Ley","14250","","HONORABLE CONGRESO DE LA NACION ARGENTINA","1953-10-20","CONVENIOS COLECTIVO DE TRABAJO","TRABAJO"
"375149","46379","Ley","14250","","HONORABLE CONGRESO DE LA NACION ARGENTINA","1953-10-20","CONVENIOS COLECTIVO DE TRABAJO","TRABAJO"
"375150","46379","Ley","14250","","HONORABLE CONGRESO DE LA NACION ARGENTINA","1953-10-20","CONVENIOS COLECTIVO DE TRABAJO","TRABAJO"
"375151","46379","Ley","14250","","HONORABLE CONGRESO DE LA NACION ARGENTINA","1953-10-20","CONVENIOS COLECTIVO DE TRABAJO","TRABAJO"
"375152","46379","Ley","14250","","HONORABLE CONGRESO DE LA NACION ARGENTINA","1953-10-20","CONVENIOS COLECTIVO DE TRABAJO","TRABAJO"
"375153","46379","Ley","14250","","HONORABLE CONGRESO DE LA NACION ARGENTINA","1953-10-20","CONVENIOS COLECTIVO DE TRABAJO","TRABAJO"
"375154","46379","Ley","14250","","HONORABLE CONGRESO DE LA NACION ARGENTINA","1953-10-20","CONVENIOS COLECTIVO DE TRABAJO","TRABAJO"
"375155","46379","Ley","14250","","HONORABLE CONGRESO DE LA NACION ARGENTINA","1953-10-20","CONVENIOS COLECTIVO DE TRABAJO","TRABAJO"
"375156","46379","Ley","14250","","HONORABLE CONGRESO DE LA NACION ARGENTINA","1953-10-20","CONVENIOS COLECTIVO DE TRABAJO","TRABAJO"
"375157","46379","Ley","14250","","HONORABLE CONGRESO DE LA NACION ARGENTINA","1953-10-20","CONVENIOS COLECTIVO DE TRABAJO","TRABAJO"
"375158","46379","Ley","14250","","HONORABLE CONGRESO DE LA NACION ARGENTINA","1953-10-20","CONVENIOS COLECTIVO DE TRABAJO","TRABAJO"
"375159","46379","Ley","14250","","HONORABLE CONGRESO DE LA NACION ARGENTINA","1953-10-20","CONVENIOS COLECTIVO DE TRABAJO","TRABAJO"
"375160","46379","Ley","14250","","HONORABLE CONGRESO DE LA NACION ARGENTINA","1953-10-20","CONVENIOS COLECTIVO DE TRABAJO","TRABAJO"
